,project,fuzzer,run,nodes_reached,nodes_flipped
318,tiff2ps,FOX,001,2124,1080
319,tiff2ps,FOX,000,2145,1092
320,exiv2,FOX+D,004,6071,1730
321,exiv2,FOX+D,006,5863,1725
322,exiv2,FOX+D,003,5524,1590
323,exiv2,FOX+D,002,5973,1664
324,exiv2,FOX+D,008,5734,1617
325,exiv2,FOX+D,005,5698,1656
326,exiv2,FOX+D,009,5698,1636
327,exiv2,FOX+D,007,5233,1357
328,exiv2,FOX+D,001,5709,1631
329,exiv2,FOX+D,000,5138,1368
330,jasper,FOX,004,1720,621
331,jasper,FOX,006,1720,626
332,jasper,FOX,003,1746,638
333,jasper,FOX,002,1684,593
334,jasper,FOX,008,1720,627
335,jasper,FOX,005,1721,631
336,jasper,FOX,009,1715,618
337,jasper,FOX,007,1718,626
338,jasper,FOX,001,1719,627
339,jasper,FOX,000,1721,632
340,bsdtar,HasteFuzz+C,004,2092,1103
341,bsdtar,HasteFuzz+C,006,1997,1010
342,bsdtar,HasteFuzz+C,003,1833,899
343,bsdtar,HasteFuzz+C,002,2108,1110
344,bsdtar,HasteFuzz+C,008,1880,891
345,bsdtar,HasteFuzz+C,005,2124,1118
346,bsdtar,HasteFuzz+C,009,1828,886
347,bsdtar,HasteFuzz+C,007,1918,936
348,bsdtar,HasteFuzz+C,001,1916,919
349,bsdtar,HasteFuzz+C,000,2015,1020
350,ffmpeg,HasteFuzz,004,9447,5189
351,ffmpeg,HasteFuzz,006,9328,5008
352,ffmpeg,HasteFuzz,003,9844,5478
353,ffmpeg,HasteFuzz,002,10462,5710
354,ffmpeg,HasteFuzz,008,10877,6147
355,ffmpeg,HasteFuzz,005,9329,5046
356,ffmpeg,HasteFuzz,009,11001,6006
357,ffmpeg,HasteFuzz,007,11813,6674
358,ffmpeg,HasteFuzz,001,10396,5480
359,ffmpeg,HasteFuzz,000,10765,5884
360,tiff2pdf,HasteFuzz,004,3236,1473
361,tiff2pdf,HasteFuzz,006,2961,1357
362,tiff2pdf,HasteFuzz,003,3148,1470
363,tiff2pdf,HasteFuzz,002,3182,1472
364,tiff2pdf,HasteFuzz,008,3152,1454
365,tiff2pdf,HasteFuzz,005,3174,1478
366,tiff2pdf,HasteFuzz,009,3192,1485
367,tiff2pdf,HasteFuzz,007,3332,1519
368,tiff2pdf,HasteFuzz,001,3167,1471
369,tiff2pdf,HasteFuzz,000,3097,1436
370,readelf,HasteFuzz+CD,004,1065,653
371,readelf,HasteFuzz+CD,006,1078,674
372,readelf,HasteFuzz+CD,003,1061,652
373,readelf,HasteFuzz+CD,002,1122,733
374,readelf,HasteFuzz+CD,008,1213,808
375,readelf,HasteFuzz+CD,005,1383,972
376,readelf,HasteFuzz+CD,009,1215,810
377,readelf,HasteFuzz+CD,007,1096,655
378,readelf,HasteFuzz+CD,001,1227,849
379,readelf,HasteFuzz+CD,000,1404,960
380,tcpdump,HasteFuzz,004,4618,2347
381,tcpdump,HasteFuzz,006,4399,2201
382,tcpdump,HasteFuzz,003,5259,2653
383,tcpdump,HasteFuzz,002,4823,2490
384,tcpdump,HasteFuzz,008,5225,2595
385,tcpdump,HasteFuzz,005,5178,2688
386,tcpdump,HasteFuzz,009,4784,2489
387,tcpdump,HasteFuzz,007,5239,2641
388,tcpdump,HasteFuzz,001,5026,2570
389,tcpdump,HasteFuzz,000,5010,2572
390,nm-new,FOX+D,004,2383,1319
391,nm-new,FOX+D,006,2139,1216
392,nm-new,FOX+D,003,2263,1136
