,hour,project,fuzzer,run,control_size
281,18,libxslt,cmplog_dict,006,14668.0
282,19,libxslt,cmplog_dict,006,14898.0
283,20,libxslt,cmplog_dict,006,15047.0
284,21,libxslt,cmplog_dict,006,15164.0
285,22,libxslt,cmplog_dict,006,15283.0
286,23,libxslt,cmplog_dict,006,15385.0
287,24,libxslt,cmplog_dict,006,15461.0
288,1,libxslt,cmplog_dict,003,9689.0
289,2,libxslt,cmplog_dict,003,10889.0
290,3,libxslt,cmplog_dict,003,11463.0
291,4,libxslt,cmplog_dict,003,11989.0
292,5,libxslt,cmplog_dict,003,12499.0
293,6,libxslt,cmplog_dict,003,12898.0
294,7,libxslt,cmplog_dict,003,13227.0
295,8,libxslt,cmplog_dict,003,13520.0
296,9,libxslt,cmplog_dict,003,13771.0
297,10,libxslt,cmplog_dict,003,13982.0
298,11,libxslt,cmplog_dict,003,14155.0
299,12,libxslt,cmplog_dict,003,14326.0
300,13,libxslt,cmplog_dict,003,14496.0
301,14,libxslt,cmplog_dict,003,14629.0
302,15,libxslt,cmplog_dict,003,14752.0
303,16,libxslt,cmplog_dict,003,14867.0
304,17,libxslt,cmplog_dict,003,14994.0
305,18,libxslt,cmplog_dict,003,15120.0
306,19,libxslt,cmplog_dict,003,15223.0
307,20,libxslt,cmplog_dict,003,15325.0
308,21,libxslt,cmplog_dict,003,15447.0
309,22,libxslt,cmplog_dict,003,15532.0
310,23,libxslt,cmplog_dict,003,15601.0
311,24,libxslt,cmplog_dict,003,15669.0
312,1,libxslt,cmplog_dict,002,9485.0
313,2,libxslt,cmplog_dict,002,10734.0
314,3,libxslt,cmplog_dict,002,11452.0
315,4,libxslt,cmplog_dict,002,11980.0
316,5,libxslt,cmplog_dict,002,12438.0
317,6,libxslt,cmplog_dict,002,12841.0
318,7,libxslt,cmplog_dict,002,13192.0
319,8,libxslt,cmplog_dict,002,13460.0
320,9,libxslt,cmplog_dict,002,13722.0
321,10,libxslt,cmplog_dict,002,13959.0
322,11,libxslt,cmplog_dict,002,14255.0
323,12,libxslt,cmplog_dict,002,14440.0
